ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
RCKT,0.23415113551264605,92,0,0,0.2,0.3418
RCKY,-0.01633646771711523,55,1,6,0.3,0.2301
RCL,-0.017839432833350384,54,1,6,0.3,0.2459
RCMT,0.02360229121258027,68,0,0,0.0,0.1734
RCON,-0.42251433757494533,3,1,49,1.0,0.7792
RCS,-0.05021860542803787,38,1,2,0.55,0.1823
RCT,-0.6457451068108708,1,1,12,0.75,
RCUS,0.15829487451423158,88,0,0,0.2,0.0992
RDAC,-0.23348366703483964,10,1,28,1.0,
RDACU,0.010928905026801009,64,1,9,0.65,
RDAG,-0.04018471137498007,43,1,9,0.7,0.1576
RDAGU,-0.034981752604315866,46,1,9,0.7,0.1465
RDCM,0.02036782245841283,67,0,0,0.5,0.153
RDDT,0.16288162206929535,88,0,0,0.25,0.3104
RDGT,-0.16443899333604745,16,1,75,1.0,
RDHL,-0.23586844064851573,10,1,11,0.9,0.5359
RDI,0.03863237912882811,72,1,3,0.15,0.144
RDIB,-0.10958371514422963,25,1,14,0.85,0.4497
RDN,0.02951422990463573,69,0,0,0.2,0.0393
RDNT,0.11208587817465365,84,0,0,0.1,0.213
RDNW,-0.24483165258847742,9,1,18,0.9,0.2933
RDVT,0.363153950967291,95,0,0,0.0,0.0211
RDW,-0.22406774592646414,11,1,22,1.0,0.6081
RDWR,0.10076518094519002,82,0,0,0.3,0.0254
RDY,-0.052641773931019174,37,1,3,0.45,0.1933
RDZN,-0.26398534710074806,8,1,24,1.0,0.5064
REAL,0.04033194085975604,72,1,5,0.25,0.4267
REAX,0.03230084070633524,70,0,0,0.35,0.5603
REBN,-0.2959564366802771,6,1,4,0.95,0.5316
RECT,-0.0430028456068007,41,1,2,0.7,
REED,-0.5568631942228899,1,1,55,1.0,0.8115
REFI,-0.066300541682523,33,1,9,0.9,0.1824
REFR,-0.33021381742109884,5,1,53,1.0,0.6321
REG,-0.022862539551105267,53,1,2,0.4,0.1039
REGCO,-0.0458413260544702,39,1,3,0.7,0.1396
REGCP,-0.02912960992198077,50,0,0,0.65,0.1231
REGN,-0.0520984447861945,38,0,0,0.55,0.2599
REI,-0.21879925720242344,11,1,40,1.0,0.4543
REKR,-0.12819534551678047,21,1,3,0.9,0.6165
RELL,0.061100591815847816,76,1,6,0.3,0.104
RELX,-0.09149640668701167,28,1,3,0.95,0.2917
RELY,0.17814946664504683,89,0,0,0.15,0.0518
RENT,-0.23369595776197166,10,1,5,0.95,0.6739
RENX,0.023022365008118287,67,0,0,0.4,
REPL,0.7327352177641003,98,0,0,0.0,
REPX,-0.09778052609738355,27,1,2,0.95,0.2705
RERE,-0.13820549111261168,20,1,2,0.9,0.4193
RES,-0.21638667208045695,11,1,18,0.9,0.3495
RETO,0.08623858466514078,80,0,0,0.25,0.6302
REVB,-0.08807654982429718,29,1,5,0.65,0.761
